140,
Luna,02/14/2020,57.81,Bird,flies,
Simba,01/08/2022,36.23,Reptile,cold-blooded,
Max,07/17/2021,46.94,Small Animal,yes,
Ginger,11/21/2018,181.16,Dog,Foxhound,
Shadow,03/12/2022,52.72,Cat,Burmilla,
Charlie,09/02/2019,163.06,Small Animal,yes, 
Bella,06/05/2019,43.02,Rabbit,no,
Lucky,02/01/2022,145.88,Small Animal,yes,
Oliver,12/07/2020,85.52,Cat,Cymric,
Daisy,01/15/2023,9.47,Rabbit,no, 
Rocky,12/27/2018,107.71,Reptile,warm, 
Molly,04/19/2021,84.87,Small Animal,yes, 
Tucker,02/14/2023,30.01,Cat,Korat,
Lucy,07/28/2020,121.19,Rabbit,no, 
Leo,11/06/2022,59.33,Small Animal,yes, 
Sadie,05/22/2019,42.22,Reptile,warm, 
Coco,12/04/2018,129.6,Cat,Siberian Forest Cat,
Buddy,05/11/2020,80.43,Small Animal,yes, 
Daisy,03/09/2021,77.96,Bird,walks,
Pepper,08/29/2022,108.48,Rabbit,yes,
Zeus,06/10/2020,70.92,Dog,Havanese,
Bailey,12/02/2021,96.55,Bird,flies,
Ruby,12/20/2022,180.27,Rabbit,no, 
Thor,03/28/2023,150.2,Small Animal,yes, 
Rosie,10/14/2018,94.7,Reptile,warm, 
Bandit,01/31/2019,101.44,Small Animal,yes, 
Chloe,01/23/2020,137.74,Cat,Dragon Li,
Duke,05/07/2021,117.52,Rabbit,yes,
Maggie,03/20/2023,22.81,Dog,Keeshond,
Milo,09/12/2018,19.76,Small Animal,yes, 
Ginger,08/08/2020,29.17,Reptile,warm, 
Blue,09/16/2021,53.06,Small Animal,yes, 
Lola,07/21/2019,39.19,Rabbit,yes,
Harley,07/01/2022,133.89,Cat,Peterbald,
Abby,09/19/2020,160.15,Small Animal,yes, 
Finn,04/02/2023,88.1,Bird,walks,
Roxy,05/10/2022,121.56,Small Animal,yes, 
Winston,12/14/2018,25.44,Reptile,warm, 
Mia,04/01/2019,78.83,Rabbit,no, 
Bear,10/30/2021,137.12,Cat,Colorpoint Shorthair,
Stella,01/02/2023,40.95,Small Animal,yes, 
Jack,04/27/2020,73.57,Dog,Dalmatian,
Nala,09/11/2022,60.23,Rabbit,yes,
Rusty,06/24/2019,137.79,Small Animal,yes, 
Gatsby,11/01/2018,140.63,Reptile,cold-blooded,
Koda,02/18/2021,111.36,Small Animal,yes, 
Marley,01/28/2023,31.76,Cat,Selkirk Rex,
Gigi,02/14/2019,152.37,Rabbit,yes,
Samson,11/11/2020,129.66,Small Animal,yes, 
Phoebe,06/08/2022,45.08,Bird,walks,
Baxter,10/03/2018,83.01,Rabbit,no, 
Cleo,06/23/2021,127.47,Small Animal,yes, 
Bruno,11/17/2019,83.63,Dog,Collie,
Luna,04/04/2022,159.1,Cat,Highlander,
Zeus,02/07/2023,53.14, Small Animal,yes, 
Jasper,02/23/2020,86.02,Reptile,cold-blooded,
Poppy,01/11/2021,17.36,Small Animal,yes, 
Cleo,09/24/2018,109.97,Rabbit,yes,
Zeus,01/25/2022,56.38,Cat,Sokoke,
Sadie,07/09/2020,18.83,Bird,flies,
Mimi,03/24/2021,147.15,Small Animal,no, 
